iter	Passed	Remaining
584	481239	341392
585	482096	340594
586	483007	339833
587	483893	339054
588	484741	338249
589	485539	337408
590	486338	336569
591	487240	335800
592	488109	335009
593	488934	334187
594	489780	333380
595	490636	332578
596	491456	331753
597	492350	330978
598	493070	330085
599	493953	329302
600	494807	328499
601	495610	327662
602	496526	326900
603	497360	326083
604	498258	325309
605	499176	324547
606	500115	323798
607	500986	323004
608	501811	322181
609	502631	321354
610	503536	320582
611	504583	319899
612	505476	319118
613	506420	318368
614	507320	317590
615	508188	316793
616	508979	315946
617	509878	315167
618	510704	314343
619	511565	313540
620	512582	312832
621	513454	312035
622	514279	311209
623	515090	310375
624	515923	309554
625	516848	308787
626	517789	308030
627	518671	307238
628	519591	306468
629	520432	305650
630	521421	304920
631	522317	304134
632	523165	303320
633	524081	302545
634	524865	301694
635	525779	300917
636	526642	300112
637	527519	299313
638	528293	298456
639	528955	297537
640	529804	296723
641	530749	295962
642	531742	295228
643	532436	294328
644	533274	293507
645	534208	292739
646	535051	291921
647	535831	291069
648	536617	290220
649	537631	289493
650	538501	288689
651	539338	287867
652	540220	287069
653	541149	286296
654	541913	285435
655	542724	284599
656	543630	283813
657	544553	283035
658	545364	282199
659	546196	281373
660	547101	280586
661	547924	279756
662	548713	278908
663	549605	278113
664	550603	277371
665	551546	276601
666	552431	275801
667	553334	275010
668	554174	274187
669	555154	273434
670	556009	272618
671	556926	271833
672	557783	271018
673	558614	270190
674	559463	269371
675	560318	268555
676	561204	267753
677	562038	266927
678	562989	266155
679	563953	265389
680	564940	264634
681	565803	263820
682	566678	263011
683	567601	262225
684	568457	261407
685	569355	260608
686	570149	259762
687	571068	258972
688	571853	258122
689	572633	257270
690	573550	256479
691	574377	255647
692	575204	254816
693	576027	253983
694	576991	253212
695	577843	252391
696	578533	251500
697	579430	250698
698	580210	249847
699	581143	249061
700	581828	248169
701	582668	247343
702	583458	246496
703	584362	245697
704	585285	244906
705	585903	243988
706	586724	243154
707	587290	242215
708	587818	241262
709	588601	240414
710	589155	239473
711	589915	238617
712	590758	237794
713	591529	236943
714	592371	236119
715	593182	235284
716	593896	234411
717	594700	233573
718	595628	232784
719	596478	231963
720	597336	231146
721	598199	230331
722	599089	229526
723	599929	228702
724	600760	227874
